app,system,size,nodes,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
stencil,mpi,100000,4,362145.855733,362417.515757,362745.577558,362237.137296,362356.820628,361566.215954,363368.888931,363550.264714,362359.170890,362693.553455
stencil,mpi,100000,8,722793.860457,728670.064044,726924.032621,727103.030861,722733.485232,724895.562996,722021.830656,721627.640722,729237.426978,723087.623447
stencil,mpi,140000,2,179804.242851,180540.759451,180084.479822,179848.507499,180443.750128,179745.564057,179397.917890,179432.720219,178972.468180,179968.352799
stencil,mpi,200000,4,361044.100699,362408.785266,360184.480208,360712.184870,361396.378394,360335.205755,359888.957396,360209.381093,360066.312203,360089.529482
stencil,mpi,280000,8,717524.230042,720685.678957,717663.355819,718355.666174,715807.957929,719100.105942,718189.183645,719269.936735,718637.794127,718027.625253
stencil,mpi,400000,16,1446759.024795,1446359.056021,1442800.524886,1445473.222665,1435418.848982,1444571.708308,1444235.548072,1441314.087139,1444049.105227,1440592.421599
stencil,mpi,480000,24,2174617.128633,2173426.347341,2171584.227892,2166947.772070,2176826.877888,2173773.791566,2169672.928860,2172896.344613,2174610.770263,2172573.981862
stencil,mpi,560000,32,1999916.542928,2015377.292719,1801706.942409,1994699.968908,1993198.751267,1993734.464105,1976346.663639,2001714.295096,2016081.553017,2000714.874886
stencil,numpy,50000,1,524.9546869813197,526.5925063274568,524.3611123616014,525.1090521995767,525.8240140400645,526.6579895936468,523.9464043069248,526.130216438178,532.2552482483754,535.3247130759509
stencil,ramba,100000,16,1027023.76218047,986260.475161441,777606.494464143,1022034.0689076544,1015306.8907596369,956393.4272649349,1038487.7888268066,1018460.1565678741,1022884.4694562947,781579.007554849
stencil,ramba,100000,1,79700.93529472513,80567.62584004505,78231.99541867561,79432.38606274634,79886.42546675698,78081.42019568404,78462.24238234383,79952.59718077879,76812.70722214095,79274.02447112575
stencil,ramba,100000,24,1306312.1532044825,1368802.5093063691,1431021.5142586434,1137909.553010066,1444314.045171978,1116903.8819605212,1442971.6393117607,1379371.9775909001,1435152.8400876406,1326246.367449222
stencil,ramba,100000,2,145487.09980262627,100978.15326805049,148397.04939082774,144549.88931500915,150209.83932993366,146963.38779608332,145693.60321123365,145690.74165557383,143375.27555240336,147177.24103839678
stencil,ramba,100000,32,1211220.0712991883,1204229.1259130812,1201771.020793963,1274542.2727790608,1270808.953925761,1256370.8309914323,1275717.8374821106,1272536.593813839,1270945.1738105223,1212481.8550694867
stencil,ramba,100000,4,288685.18935328716,287769.9808905496,288142.254404702,289001.03533210576,288009.85607140185,290435.3079750639,286008.7793022894,285604.70107873285,289213.02057619893,288247.4821134172
stencil,ramba,100000,8,562798.8394811256,563682.9305285115,561692.5598325747,556854.5545058443,559215.4306825313,532057.0048036145,559838.2933721471,562110.5740655941,400206.2694118499,560315.379299786
stencil,ramba,140000,2,145859.15395033697,142943.76250443127,146513.8732485183,146174.41730580566,146619.99678086606,142691.12555799258,141713.22308356327,148015.97659250055,144524.57075897272,146751.761938685
stencil,ramba,200000,4,295031.7845147294,295208.4809412969,298550.1339489145,296018.3793939587,288389.7280917759,294572.159181153,295315.17117648234,294359.8410920173,291715.7443634181,293504.82154753763
stencil,ramba2,100000,16
stencil,ramba2,100000,1,88818.95978760265,88726.3007624236,88973.7520297138,89046.56204436928,88625.7105506568,89020.6326640321,88825.85625839433,89056.79136750424,89151.80130392007,88908.22119579482
stencil,ramba2,100000,2,177372.79711201746,123925.03689818346,123325.22297460571
stencil,ramba2,100000,4,348327.2761648785,343328.95820862416,354100.12131422217,353982.76229715353,349922.9475456084,337381.04648159986,346363.0028112943,353492.7351327961,337675.92108403746,349653.9447433843
stencil,ramba2,100000,8
stencil,ramba,280000,8,560479.0174957586,563391.190624511,567506.2290517265,406397.44175483525,570731.0364220865,564114.9579729849,571426.7746959655,403783.44417497446,568189.2913033047,567815.1446817655
stencil,ramba,400000,16,807331.868775564,1123522.1218563323,823387.6482798686,1121004.8093683484,1125831.2161077745,1123718.3739017283,1111492.5196315025,1128063.2393205347,1124254.6315389168,1126785.5612197812
stencil,ramba,480000,24,1681264.8250652815,1693956.6011959652,1675221.4518856604,1691297.5948919521,1238423.46260182,1687912.154858152,1687013.7263857182,1682052.8157747115,1694279.9243750328,1685149.3093586692
stencil,ramba,480000,32,1348830.2665619652,1370886.7434789396,1298232.2439153842,1314925.337842292,1325300.8992228033,1336081.2322168355,1360670.8694888281,1401679.1063884944,1391162.9848830572,1357965.5543508339
stencil,ramba,560000,32,1316719.281649779,1399793.1682018416,1397216.8953447235,1343171.9888622318,1356808.240551376,1334428.351384836,1283408.4410923787,1328972.858765613,1346454.4060797284,1333262.7767751478
