,Highest Ratio,Average Others,T-Statistic,P-Value,Label
385,0.423728813559322,0.346045197740113,-2.667891875399661,0.07582649117357966,Original
386,0.4915254237288136,0.3714689265536723,-5.879572942861632,0.009816556345478428,Original
387,0.5084745762711864,0.37966101694915255,-6.598309513974847,0.007085641181587867,Original
388,0.4745762711864407,0.3627824858757063,-4.484419263456089,0.020682260794596567,Original
389,0.559322033898305,0.3836864406779661,-4.199186687635008,0.024644713133568197,Original
390,0.4406779661016949,0.35444915254237286,-7.140350877192979,0.0056554388389449695,Original
391,0.4406779661016949,0.3755649717514124,-4.427578329769953,0.021402204751343277,Original
392,0.43333333333333335,0.37288135593220345,-2.6341579069577183,0.0780460308657842,Original
393,0.4067796610169492,0.33719397363465164,-2.622926709469525,0.1197907664196296,Original
394,0.5084745762711864,0.36299435028248583,-8.553684424935213,0.003357721498987871,Original
395,0.4576271186440678,0.33326271186440676,-18.123845744121766,0.00036642093322613114,Original
396,0.5333333333333333,0.36864406779661013,-3.142183764359604,0.051576243518155256,Original
397,0.5,0.3389830508474576,-7.756717518813398,0.004457004963920533,Original
398,0.4745762711864407,0.3290960451977401,-5.1956627047447785,0.013850433541822478,Original
399,0.423728813559322,0.3206920903954802,-4.95328158335475,0.015793349475275394,Original
400,0.4745762711864407,0.4135593220338983,-3.3916011823151724,0.04272446714466854,Original
401,0.4745762711864407,0.3248587570621469,-6.203180801394921,0.008441476456348773,Original
402,0.5254237288135594,0.40077683615819215,-5.011757995152538,0.015293631034164368,Original
403,0.4745762711864407,0.39237288135593223,-11.151144229232496,0.0015455390866235931,Original
404,0.4067796610169492,0.28714689265536725,-3.409092533983689,0.04217876250784662,Original
405,0.423728813559322,0.33173258003766476,-3.524320965413247,0.07193114099352556,Original
406,0.43333333333333335,0.3305084745762712,-2.3067562719090997,0.10434037801243047,Original
407,0.4666666666666667,0.36016949152542377,-2.4527621833439794,0.09145430123164801,Original
408,0.4067796610169492,0.3483050847457627,-11.775818566563489,0.00713429023847155,Original
409,0.423728813559322,0.38806497175141247,-2.8670514268084752,0.06420504585478538,Original
410,0.4406779661016949,0.4092514124293785,-2.568138862870189,0.08262673431862806,Original
411,0.4745762711864407,0.3839689265536724,-2.903867111427604,0.06230610742939453,Original
412,0.4666666666666667,0.3940677966101695,-6.80809631531433,0.006481122703408014,Original
413,0.4406779661016949,0.3542372881355932,-2.2861298780156964,0.10633394781548948,Original
414,0.4745762711864407,0.38425141242937855,-2.687063737163629,0.07459984908288483,Original
415,0.4406779661016949,0.3536723163841808,-3.172729727206767,0.08662826593910922,Original
416,0.5166666666666667,0.35593220338983045,-4.843649660017283,0.016788991301625738,Original
417,0.4406779661016949,0.3670197740112994,-2.9579994448141673,0.05963975694231845,Original
418,0.423728813559322,0.30903954802259886,-2.5908795387845776,0.12224781736312054,Original
419,0.576271186440678,0.4008474576271186,-8.297720726530276,0.0036672497469535698,Original
420,0.4406779661016949,0.38182674199623357,-1.9595943025088522,0.1891147904640091,Original
421,0.3898305084745763,0.32076271186440675,-4.322021374340152,0.022827550876124904,Original
422,0.4745762711864407,0.4388418079096046,-2.947245022552593,0.0601579316359931,Original
423,0.4915254237288136,0.39632768361581916,-4.060240963855425,0.02693187975555432,Original
424,0.3898305084745763,0.3418079096045198,-3.27165152540788,0.04671879927774851,Original
425,0.3898305084745763,0.3483992467043315,-5.499999999999996,0.031504003041813854,Original
426,0.5833333333333334,0.4279661016949152,-10.734900802433872,0.0017285150870629262,Original
427,0.5084745762711864,0.34230225988700563,-3.432024351211093,0.041476672849086224,Original
428,0.5254237288135594,0.35021186440677965,-10.964467451419276,0.0016242528673193293,Original
429,0.5254237288135594,0.37577683615819213,-5.036096342175906,0.015091717648582546,Original
430,0.4915254237288136,0.4134887005649718,-4.473097699753992,0.020823127617620334,Original
431,0.3559322033898305,0.3081214689265537,-3.5637008822210965,0.037720655653052076,Original
432,0.5084745762711864,0.37563559322033896,-4.420794483496409,0.02149028401764827,Original
433,0.5166666666666667,0.34745762711864403,-5.845641436961716,0.009977307916285254,Original
434,0.4576271186440678,0.3375706214689265,-16.999999999999993,0.00044334353831207803,Original
435,0.4915254237288136,0.4263418079096045,-4.09478757977338,0.026338481224541917,Original
436,0.4406779661016949,0.3378531073446328,-3.7042710296105374,0.034176730688008236,Original
437,0.4745762711864407,0.39661016949152544,-3.8969992136018448,0.029980924038161237,Original
438,0.45,0.3305084745762712,-3.6406043454349715,0.03572662155623015,Original
439,0.5084745762711864,0.42203389830508475,-6.715954603984051,0.006737927535009723,Original
440,0.4067796610169492,0.32916666666666666,-13.44549998474748,0.0008895256433019566,Original
441,0.3898305084745763,0.3208333333333333,-3.6177990004181297,0.0363035983070319,Original
442,0.43333333333333335,0.37288135593220345,-2.5220141862320173,0.08602451986599671,Original
443,0.4666666666666667,0.3940677966101695,-5.016126374955461,0.01525713242925573,Original
444,0.4915254237288136,0.39223163841807906,-3.5593682026592988,0.03783717712998915,Original
445,0.559322033898305,0.41744350282485876,-3.7183243247458044,0.03384627426695061,Original
446,0.5,0.35593220338983056,-4.164132562731401,0.025197328469594847,Original
447,0.559322033898305,0.37584745762711863,-5.567318968997769,0.01143555025754969,Original
448,0.5084745762711864,0.43036723163841806,-3.6908520053100666,0.03449613636026554,Original
449,0.5084745762711864,0.4135593220338983,-6.287241983947008,0.008126201507413536,Original
450,0.423728813559322,0.354590395480226,-4.195847013586463,0.024696683385781026,Original
451,0.559322033898305,0.3545197740112994,-7.100680549678681,0.0057464492134181155,Original
452,0.4406779661016949,0.3925141242937853,-2.652993667727985,0.07679697042443225,Original
453,0.559322033898305,0.32492937853107345,-10.457966297708378,0.0018664458731184775,Original
454,0.423728813559322,0.35868644067796607,-13.182726027622682,0.000943041742019242,Original
455,0.43333333333333335,0.3855932203389831,-4.476919366879844,0.0207754384968935,Original
456,0.3559322033898305,0.3038135593220339,-2.8400584700013614,0.06564341941663877,Original
457,0.4067796610169492,0.3038841807909604,-4.6304395053630865,0.01897139383687084,Original
458,0.423728813559322,0.29950564971751414,-3.9160409861832215,0.02960312502298523,Original
459,0.4915254237288136,0.4095338983050847,-3.343711500585689,0.04426514489947514,Original
460,0.4,0.3516949152542373,-2.764906125414197,0.06986512747198882,Original
461,0.4745762711864407,0.3331920903954802,-3.755601850914824,0.03298931499378954,Original
